1,2,3,4,5,6,7,8
Station name,Parameter,Date from,Date to,Value,calibrationflag,maint flag,Remarks
North Side,SO2,12-09-2020 07:05,12-09-2020 07:20,119.19,0,0,0
North Side,SO2,12-09-2020 07:20,12-09-2020 07:35,122.59,0,0,0
North Side,PM10,12-09-2020 00:05,12-09-2020 00:20,40.00,0,0,0
North Side,PM10,12-09-2020 00:20,12-09-2020 00:35,74.33,0,0,0
North Side,PM10,12-09-2020 00:35,12-09-2020 00:50,108.67,0,0,0
North Side,PM10,12-09-2020 00:50,12-09-2020 01:05,143.00,0,0,0
North Side,PM10,12-09-2020 01:05,12-09-2020 01:20,178.33,0,0,0
North Side,PM10,12-09-2020 01:20,12-09-2020 01:35,214.33,0,0,0
North Side,PM10,12-09-2020 01:35,12-09-2020 01:50,250.00,0,0,0
North Side,PM10,12-09-2020 01:50,12-09-2020 02:05,285.67,0,0,0
North Side,PM10,12-09-2020 02:05,12-09-2020 02:20,319.33,0,0,0
North Side,PM10,12-09-2020 02:20,12-09-2020 02:35,352.33,0,0,0
North Side,PM10,12-09-2020 02:35,12-09-2020 02:50,385.33,0,0,0
North Side,PM10,12-09-2020 02:50,12-09-2020 03:05,418.33,0,0,0
North Side,PM10,12-09-2020 03:05,12-09-2020 03:20,449.00,0,0,0
North Side,PM10,12-09-2020 03:20,12-09-2020 03:35,479.00,0,0,0
North Side,PM10,12-09-2020 03:35,12-09-2020 03:50,509.00,0,0,0
North Side,PM10,12-09-2020 03:50,12-09-2020 04:05,539.00,0,0,0
North Side,PM10,12-09-2020 04:05,12-09-2020 04:20,570.67,0,0,0
North Side,PM10,12-09-2020 04:20,12-09-2020 04:35,602.67,0,0,0
North Side,PM10,12-09-2020 04:35,12-09-2020 04:50,634.67,0,0,0
North Side,PM10,12-09-2020 04:50,12-09-2020 05:05,666.67,0,0,0
North Side,PM10,12-09-2020 05:05,12-09-2020 05:20,692.00,0,0,0
North Side,PM10,12-09-2020 05:20,12-09-2020 05:35,715.00,0,0,0
North Side,PM10,12-09-2020 05:35,12-09-2020 05:50,738.00,0,0,0
North Side,PM10,12-09-2020 05:50,12-09-2020 06:05,761.00,0,0,0
North Side,PM10,12-09-2020 06:05,12-09-2020 06:20,786.33,0,0,0
North Side,PM10,12-09-2020 06:20,12-09-2020 06:35,812.67,0,0,0
North Side,PM10,12-09-2020 06:35,12-09-2020 06:50,839.00,0,0,0
North Side,PM10,12-09-2020 06:50,12-09-2020 07:05,865.67,0,0,0
North Side,PM10,12-09-2020 07:05,12-09-2020 07:20,891.33,0,0,0
North Side,PM10,12-09-2020 07:20,12-09-2020 07:35,916.67,0,0,0
North Side,Temp,12-09-2020 07:35,12-09-2020 07:50,28.40,0,0,0
North Side,Temp,12-09-2020 07:50,12-09-2020 08:05,56.80,0,0,0
North Side,Temp,12-09-2020 08:05,12-09-2020 08:20,85.20,0,0,0
North Side,Temp,12-09-2020 08:20,12-09-2020 08:35,113.67,0,0,0
North Side,Temp,12-09-2020 08:35,12-09-2020 08:50,142.00,0,0,0
North Side,Temp,12-09-2020 08:50,12-09-2020 09:05,170.40,0,0,0
North Side,Temp,12-09-2020 09:05,12-09-2020 09:20,198.87,0,0,0
North Side,Temp,12-09-2020 09:20,12-09-2020 09:35,227.40,0,0,0
North Side,Temp,12-09-2020 09:35,12-09-2020 09:50,255.77,0,0,0
North Side,CO,12-09-2020 07:35,12-09-2020 07:50,0.17,0,0,0
North Side,CO,12-09-2020 07:50,12-09-2020 08:05,0.34,0,0,0
North Side,CO,12-09-2020 08:05,12-09-2020 08:20,0.52,0,0,0
North Side,CO,12-09-2020 08:20,12-09-2020 08:35,0.70,0,0,0
North Side,CO,12-09-2020 08:35,12-09-2020 08:50,0.88,0,0,0
North Side,CO,12-09-2020 08:50,12-09-2020 09:05,1.06,0,0,0
North Side,CO,12-09-2020 09:05,12-09-2020 09:20,1.20,0,0,0
North Side,CO,12-09-2020 09:20,12-09-2020 09:35,1.33,0,0,0
North Side,CO,12-09-2020 09:35,12-09-2020 09:50,1.46,0,0,0
North Side,NO,12-09-2020 07:35,12-09-2020 07:50,3.41,0,0,0
North Side,NO,12-09-2020 07:50,12-09-2020 08:05,6.81,0,0,0
North Side,NO,12-09-2020 08:05,12-09-2020 08:20,10.41,0,0,0
North Side,NO,12-09-2020 08:20,12-09-2020 08:35,14.07,0,0,0
North Side,NO,12-09-2020 08:35,12-09-2020 08:50,17.73,0,0,0
North Side,NO,12-09-2020 08:50,12-09-2020 09:05,21.39,0,0,0
North Side,NO,12-09-2020 09:05,12-09-2020 09:20,24.20,0,0,0
North Side,NO,12-09-2020 09:20,12-09-2020 09:35,26.71,0,0,0
